Feature,Coefficient,Abs_Coefficient
num__Budget,2.4669093402302806,2.4669093402302806
cat__Primary_production_company_Unknown,-2.0471383607789715,2.0471383607789715
cat__Primary_production_country_Unknown,-1.7866499910890647,1.7866499910890647
cat__Primary_production_company_Rogue Pictures,1.5169223703487822,1.5169223703487822
cat__Primary_production_company_Hollywood Pictures,-1.4529602595960716,1.4529602595960716
cat__Primary_production_company_Ingenious Film Partners,-1.3438304580211915,1.3438304580211915
cat__Primary_production_company_Lions Gate Films,1.341169865071342,1.341169865071342
cat__Primary_production_company_Walt Disney Productions,1.3069386343649418,1.3069386343649418
cat__Primary_production_company_Twentieth Century Fox Film Corporation,1.2292050042763063,1.2292050042763063
cat__Primary_production_company_Lucasfilm,1.222822792327816,1.222822792327816
cat__Primary_production_company_MTV Films,1.2171824782002976,1.2171824782002976
cat__Primary_production_company_Studio Babelsberg,1.2077573525974616,1.2077573525974616
cat__Primary_production_company_Rainforest Films,1.2013888003118365,1.2013888003118365
cat__Primary_production_company_Punch Productions,-1.1866861425201014,1.1866861425201014
cat__Primary_production_company_Amblin Entertainment,1.183195625963105,1.183195625963105
cat__Primary_production_company_Bazelevs Production,1.1537515572995478,1.1537515572995478
cat__Primary_production_company_Silver Pictures,1.138848505523847,1.138848505523847
cat__Primary_production_company_Eon Productions,1.045826431811035,1.045826431811035
cat__Primary_production_company_New Line Cinema,1.0330906798687505,1.0330906798687505
cat__Primary_production_company_Blumhouse Productions,1.0282694841629554,1.0282694841629554
cat__Primary_production_country_Czech Republic,-1.0271213232565877,1.0271213232565877
cat__Primary_production_company_Walt Disney Pictures,1.0083596228672658,1.0083596228672658
cat__Primary_production_company_Legendary Pictures,1.0022266222022018,1.0022266222022018
cat__Primary_production_company_France 3 Cinéma,1.0014097170402638,1.0014097170402638
cat__Primary_production_company_Universal Pictures,0.987398394917128,0.987398394917128
cat__Primary_production_company_Vnesheconombank,-0.978612993315762,0.978612993315762
cat__Primary_production_company_Le Studio Canal+,-0.9688431704105033,0.9688431704105033
cat__Primary_production_company_Will Packer Productions,0.9635140351767989,0.9635140351767989
cat__Primary_production_company_Gaumont,-0.9554054406000747,0.9554054406000747
cat__Primary_production_company_Kennedy Miller Productions,0.9543931512072057,0.9543931512072057
cat__Primary_production_company_The Weinstein Company,0.9452220488695329,0.9452220488695329
cat__Primary_production_company_Endgame Entertainment,0.9409587080217203,0.9409587080217203
cat__Primary_production_country_Argentina,0.940828941562046,0.940828941562046
cat__Primary_production_company_Relativity Media,0.9401412417265785,0.9401412417265785
